,t,V
,0,0.0
,1,0.0
,2,0.0
,3,0.0
,4,0.0
,5,0.0
,6,0.0
,7,0.0
,8,0.0
,9,0.0
,10,0.0
,11,0.0
,12,0.2
,13,3.1
,14,5.7
,15,8.0
,16,10.1
,17,12.0
,18,13.8
,19,15.4
,20,16.7
,21,17.7
,22,18.3
,23,18.8
,24,18.9
,25,18.4
,26,16.9
,27,14.3
,28,10.8
,29,7.1
,30,4.0
,31,0.0
,32,0.0
,33,0.0
,34,0.0
,35,1.5
,36,3.8
,37,5.6
,38,7.5
,39,9.2
,40,10.8
,41,12.4
,42,13.8
,43,15.2
,44,16.3
,45,17.3
,46,18.0
,47,18.8
,48,19.5
,49,20.2
,50,20.9
,51,21.7
,52,22.4
,53,23.1
,54,23.7
,55,24.4
,56,25.1
,57,25.4
,58,25.2
,59,23.4
,60,21.8
,61,19.7
,62,17.3
,63,14.7
,64,12.0
,65,9.4
,66,5.6
,67,3.1
,68,0.0
,69,0.0
,70,0.0
,71,0.0
,72,0.0
,73,0.0
,74,0.0
,75,0.0
,76,0.0
,77,0.0
,78,0.0
,79,0.0
,80,0.0
,81,0.0
,82,0.0
,83,0.0
,84,0.0
,85,0.0
,86,0.0
,87,0.0
,88,0.0
,89,0.0
,90,0.0
,91,0.0
,92,0.0
,93,0.0
,94,0.0
,95,0.0
,96,0.0
,97,0.0
,98,0.0
,99,0.0
,100,0.0
,101,0.0
,102,0.0
,103,0.0
,104,0.0
,105,0.0
,106,0.0
,107,0.0
,108,0.7
,109,1.1
,110,1.9
,111,2.5
,112,3.5
,113,4.7
,114,6.1
,115,7.5
,116,9.4
,117,11.0
,118,12.9
,119,14.5
,120,16.4
,121,18.0
,122,20.0
,123,21.5
,124,23.5
,125,25.0
,126,26.8
,127,28.2
,128,30.0
,129,31.4
,130,32.5
,131,33.2
,132,33.4
,133,33.7
,134,33.9
,135,34.2
,136,34.4
,137,34.7
,138,34.9
,139,35.2
,140,35.4
,141,35.7
,142,35.9
,143,36.6
,144,37.5
,145,38.4
,146,39.3
,147,40.0
,148,40.6
,149,41.1
,150,41.4
,151,41.6
,152,41.8
,153,41.8
,154,41.9
,155,41.9
,156,42.0
,157,42.0
,158,42.2
,159,42.3
,160,42.6
,161,43.0
,162,43.3
,163,43.7
,164,44.0
,165,44.3
,166,44.5
,167,44.6
,168,44.6
,169,44.5
,170,44.4
,171,44.3
,172,44.2
,173,44.1
,174,44.0
,175,43.9
,176,43.8
,177,43.7
,178,43.6
,179,43.5
,180,43.4
,181,43.3
,182,43.1
,183,42.9
,184,42.7
,185,42.5
,186,42.3
,187,42.2
